,dif_hp,dif_atk,dif_def,dif_spatk,dif_spdef,dif_sp
4453,-44,-35,-5,25,5,15
4454,4,-8,5,-23,-18,-10
4455,16,12,-58,-23,-5,13
4456,-26,3,15,-94,-25,-23
4457,40,40,-65,15,-20,20
4458,35,38,2,25,30,20
4459,-60,-135,-44,-30,-65,-61
4460,-35,-105,-5,-45,-5,-30
4461,18,-10,33,-8,54,-37
4462,-5,-50,-5,-70,-20,-60
4463,50,30,50,50,50,30
4464,-50,-40,-70,-85,-85,-85
4465,15,30,-32,-50,-52,-1
4466,-25,5,45,-75,-35,-130
4467,20,27,-5,-20,5,28
4468,13,-26,18,64,5,35
4469,-42,-85,-44,-30,-24,-20
4470,-88,-80,3,-57,-16,-48
4471,-5,-30,0,-20,15,-40
4472,10,90,15,35,35,70
4473,-22,-8,-15,39,71,20
4474,40,40,11,30,31,-7
4475,-30,-60,-60,75,0,40
4476,-55,-97,-65,-97,-50,20
4477,25,10,-5,105,70,90
4478,6,22,8,2,4,-42
4479,95,-35,-100,-20,-15,15
4480,-25,5,-35,-34,-64,15
4481,-40,-10,-20,-110,-55,5
4482,-35,15,-33,-65,-45,8
4483,44,31,23,26,28,33
4484,-6,-11,120,-32,1,-1
4485,50,8,-24,-32,-24,-31
4486,34,17,40,55,50,-6
4487,-29,-41,-23,-58,-23,-51
4488,-50,-15,-5,-75,5,35
4489,2,-17,-48,46,2,16
4490,20,7,32,-1,24,0
4491,-30,-57,-50,-50,-25,-70
4492,-26,7,28,-54,14,-56
4493,-4,38,45,-69,-2,27
4494,-15,-20,-170,65,-35,75
4495,49,53,60,-22,2,-26
4496,-20,-10,0,0,0,30
4497,-40,-30,-40,-65,-40,0
4498,20,25,18,65,88,-21
4499,20,-27,-40,-49,-37,-25
4500,-20,-75,-55,65,15,75
4501,-10,30,7,10,32,58
4502,-20,18,-21,-33,-41,-40
4503,40,-15,-50,-5,-25,35
4504,-20,-65,10,-75,-45,-15
4505,-69,-30,-25,-20,-35,45
4506,8,-35,-15,10,40,-10
4507,10,25,35,25,35,35
4508,-21,-20,-30,-35,-45,-55
4509,-40,-15,5,0,-20,-15
4510,36,27,39,40,-8,66
4511,-6,80,43,48,28,21
4512,-12,-3,-40,11,-20,29
4513,12,25,147,-33,-13,-10
4514,-40,-55,40,25,-5,-80
4515,20,34,5,-6,-30,1
4516,-65,-95,-35,-8,-7,-45
4517,-30,8,-65,-53,-65,-25
4518,30,-20,16,-5,-80,-51
4519,67,120,105,75,55,80
4520,47,5,10,65,65,80
4521,-40,95,-45,-45,-45,50
4522,-75,-10,-70,-25,-65,-45
4523,-11,0,75,-100,-36,-110
4524,65,10,80,-5,-5,-65
4525,-2,-100,5,45,80,2
4526,-58,-58,-10,-42,-3,-5
4527,-54,-45,-48,-75,-28,11
4528,2,39,46,-16,36,-32
4529,0,35,30,35,30,150
4530,10,-10,-20,-25,-30,-115
4531,-34,19,-45,10,-60,5
4532,-42,-31,-32,-28,-19,10
4533,-10,-10,-83,20,-33,46
4534,21,-8,7,25,15,-15
4535,-10,-53,-15,13,23,-58
4536,-5,2,20,132,5,108
4537,-5,-35,-72,-18,-20,-39
4538,-35,-55,-40,-10,-40,-45
4539,-15,-45,1,-5,-45,9
4540,-20,5,-25,-55,-65,-35
4541,20,-7,-60,40,-10,25
4542,-6,0,-10,-55,-40,6
4543,-10,-25,-5,80,25,55
4544,40,50,40,120,20,30
4545,-12,-55,-75,15,5,20
4546,-10,2,-12,-18,-22,-20
4547,64,26,12,62,31,33
4548,-25,-58,22,-58,2,-76
4549,13,21,-40,-29,40,28
4550,-25,0,-25,-25,-35,5
4551,-3,14,24,21,26,-41
4552,-40,-70,-30,-80,-30,-55
4553,-49,-8,-33,-40,-35,0
4554,-30,-10,0,-40,-45,-35
4555,-5,-45,-2,-20,3,-56
4556,40,15,130,40,115,-20
4557,-60,-48,10,-35,0,-15
4558,45,25,-15,85,25,25
4559,-70,10,0,-5,15,45
4560,-40,-40,-10,-95,0,-40
4561,-31,-32,28,-20,-12,-25
4562,70,-30,-25,20,25,-20
4563,7,10,-27,-7,-51,32
4564,-50,47,-25,30,-25,23
4565,-57,30,2,-25,-30,20
4566,15,-45,-10,55,60,25
4567,-26,-102,-14,-97,-79,14
4568,-15,47,-2,-12,35,2
4569,17,38,12,43,9,53
4570,15,15,-95,25,-40,15
4571,-25,20,-18,-10,-5,38
4572,20,-8,17,-30,10,36
4573,-5,10,25,0,0,-20
4574,-63,-40,-75,-15,-65,-37
4575,-60,-5,15,-60,-55,-60
4576,10,-7,13,-42,-22,-55
4577,6,14,26,89,26,58
4578,30,14,33,79,61,62
4579,26,16,8,51,25,39
4580,-25,55,0,-15,0,50
4581,21,50,75,-17,-23,17
4582,-14,-41,-6,-39,-13,-57
4583,45,-3,33,0,5,-40
4584,-37,-39,-31,-84,-59,-44
4585,20,95,75,15,-5,25
4586,15,25,5,45,15,-100
4587,26,97,50,30,40,47
4588,-15,-20,-50,5,-55,-45
4589,60,3,28,36,26,0
4590,29,0,3,57,23,41
4591,-14,65,-36,35,-46,51
4592,52,71,47,23,54,55
4593,-25,29,15,29,15,5
4594,89,9,20,48,51,-6
4595,-19,-20,0,24,0,35
4596,44,4,-17,4,-12,17
4597,-25,9,20,45,0,11
4598,-16,-97,-20,20,10,43
4599,14,20,-10,10,15,-4
4600,-35,10,35,25,65,25
4601,-37,-90,-75,-15,0,52
4602,11,-25,15,45,-25,41
4603,-12,-39,-62,16,-59,-18
4604,12,15,-85,-5,-30,60
4605,55,45,3,-55,3,-1
4606,15,-58,25,50,0,-77
4607,15,44,23,50,23,22
4608,-28,-69,-35,-22,-40,-37
4609,25,30,10,70,30,45
4610,-20,-15,85,-40,55,-45
4611,10,-5,-47,0,-2,19
4612,25,-25,5,10,20,-35
4613,-45,-35,-25,-5,-25,-7
4614,-5,-90,-45,21,31,25
4615,75,3,8,40,46,24
4616,-14,2,18,-55,-2,-34
4617,45,63,5,15,-10,10
4618,-48,-41,42,-146,-72,-31
4619,-20,15,-85,30,-45,-20
4620,5,-26,86,6,-36,-85
4621,5,50,35,-15,5,20
4622,25,-11,-23,104,55,94
4623,-30,-30,20,10,-5,63
4624,-20,-5,40,-55,-30,-35
4625,-59,-70,6,35,41,-23
4626,5,-15,5,35,15,30
4627,12,15,-40,-20,-30,20
4628,40,30,25,0,20,-10
4629,25,-35,30,-45,30,-10
4630,-36,7,22,-12,-2,-4
4631,20,-20,20,-10,20,50
4632,-5,30,-15,-40,-35,0
4633,30,2,-105,43,30,15
4634,30,-40,35,-75,35,-60
4635,-20,-28,10,-15,0,15
4636,-50,-60,25,50,20,27
4637,15,70,20,50,-15,50
4638,55,-25,25,-65,25,-60
4639,-30,-70,-45,-25,0,-120
4640,65,25,-10,-55,-15,-5
4641,-15,-18,-13,-48,-13,-61
4642,15,41,31,118,74,26
4643,-6,30,32,-10,12,-99
4644,-35,-50,-45,55,-10,-15
4645,-23,65,-11,-20,9,35
4646,-4,14,-5,2,-7,-5
4647,20,10,35,50,15,40
4648,-8,-23,-15,-103,-75,-60
4649,-25,-40,30,-60,-10,-85
4650,5,3,2,-12,47,-30
4651,12,-10,-8,-20,39,-13
4652,-60,-15,65,-30,20,-15
4653,20,86,25,12,25,59
4654,30,105,45,75,15,85
4655,25,-29,37,20,32,10
4656,-25,25,0,10,-30,-80
4657,-22,-46,-12,-21,-45,10
4658,2,-35,10,-5,10,-22
4659,-140,-100,165,-55,120,-25
4660,60,-20,-80,16,-34,45
4661,60,65,-25,70,60,35
4662,41,18,29,69,28,44
4663,41,75,52,5,30,-12
4664,-25,-19,-10,-10,0,2
4665,-60,5,25,35,25,45
4666,52,45,45,45,65,30
4667,8,-3,15,14,18,-14
4668,-13,-9,-3,-104,-60,-15
4669,0,-27,9,10,-20,-84
4670,-33,-10,-15,0,15,38
4671,50,5,40,80,55,45
4672,-30,5,-45,-14,-34,10
4673,40,45,30,-30,-10,5
4674,25,50,60,69,39,10
4675,-36,-17,-25,25,10,-42
4676,-26,1,12,-17,-10,50
4677,0,-108,-65,8,-15,-20
4678,25,30,70,-5,25,-5
4679,10,0,10,60,15,-5
4680,32,28,32,8,32,52
4681,35,50,0,45,-15,60
4682,-14,31,29,-24,4,-68
4683,5,-18,6,35,25,109
4684,20,-35,-48,75,45,8
4685,31,-31,52,7,62,-27
4686,60,40,70,69,69,30
4687,20,-20,60,50,30,5
4688,15,40,-10,-50,-65,-30
4689,0,44,6,5,5,10
4690,15,40,30,20,20,-5
4691,5,50,70,-20,7,-57
4692,0,15,73,-40,-20,2
4693,16,-15,25,-3,27,15
4694,-25,-50,0,40,20,-15
4695,-40,-42,45,-15,45,-49
4696,-10,10,15,15,-25,-55
4697,5,60,-10,-55,-110,30
4698,35,23,2,-13,-8,46
4699,54,24,65,-22,26,29
4700,3,29,-17,84,20,-13
4701,-30,-22,-30,-7,-20,-31
4702,-3,24,4,31,6,-81
4703,-50,-34,-47,-34,-57,-2
4704,-65,25,-65,-40,-55,30
4705,1,-16,-33,0,-22,5
4706,-20,5,-20,-30,-30,45
4707,-105,0,20,-29,16,40
4708,10,30,-15,55,-5,55
4709,8,14,22,-47,-42,-71
4710,1,45,-41,16,-36,65
4711,-11,30,85,-45,-16,-50
4712,-28,-45,-38,-16,9,19
4713,-45,25,22,-60,20,10
4714,25,30,105,-25,25,-60
4715,1,-30,-25,-15,-15,-121
4716,-12,-37,-63,-4,-14,9
4717,8,-25,70,30,40,-20
4718,-1,-38,-15,4,-13,-17
4719,-16,30,-35,18,-57,-50
4720,9,15,12,3,33,50
4721,9,44,35,-4,-15,-4
4722,-73,60,48,63,29,42
4723,10,-7,-17,-7,-37,-25
4724,-25,10,65,2,55,-40
4725,24,-17,10,40,30,13
4726,0,10,80,45,70,-40
4727,14,23,-57,-17,-57,20
4728,10,-7,-27,1,-19,30
4729,25,15,-5,15,85,25
4730,-30,-70,-145,15,-45,-30
4731,-63,12,-7,-48,-22,-41
4732,0,-50,-10,-42,-10,-55
4733,-16,-2,-5,0,-26,-22
4734,9,-42,60,35,80,28
4735,5,-3,-25,-55,-37,-50
4736,15,-25,-16,70,95,56
4737,30,-5,-13,-7,-60,24
4738,-22,-27,-10,33,30,20
4739,-12,35,-26,30,-15,-17
4740,20,-15,60,65,25,-30
4741,-57,-95,-20,-30,-10,2
4742,10,-25,15,-10,-10,-26
4743,22,75,5,20,5,-2
4744,-26,-90,-30,-94,-30,-35
4745,25,15,40,-25,10,-40
4746,-42,-15,105,25,60,5
4747,-12,-12,45,55,65,21
4748,-85,-15,10,10,-35,65
4749,28,-10,36,10,21,-30
4750,20,37,20,8,20,-14
4751,-30,-36,35,64,15,-48
4752,30,90,85,60,55,20
4753,-30,-28,-7,-90,-45,-20
4754,20,-80,-3,20,-60,-62
4755,-23,-60,-15,-140,-110,-65
4756,-64,20,-68,-90,-68,11
4757,0,-55,-5,25,-15,-20
4758,-28,-109,-29,-80,-31,-4
4759,15,4,-10,35,26,-12
4760,20,35,10,-50,-30,-26
4761,56,17,55,99,60,73
4762,35,77,85,53,15,5
4763,0,-10,30,30,100,5
4764,-24,-60,-93,-10,-28,-29
4765,50,115,115,65,25,-5
4766,-31,45,29,-6,0,18
4767,0,-85,-60,0,-25,10
4768,-5,-20,-10,50,25,80
4769,9,10,-49,-30,-12,-58
4770,56,19,2,-26,37,-38
4771,-26,-53,-35,-85,-45,-36
4772,25,30,59,40,64,-22
4773,105,50,10,-10,40,15
4774,-53,-40,-19,-18,-13,-20
4775,-155,90,115,35,-85,-5
4776,10,38,52,-50,-15,-30
4777,-11,-2,-11,-4,-6,2
4778,-5,15,67,65,67,11
4779,-43,5,11,1,8,22
4780,5,10,42,15,37,-75
4781,33,30,-24,65,-50,55
4782,-5,-50,10,10,15,0
4783,-15,-65,-70,-8,-32,-55
4784,-28,-19,29,-4,22,-14
4785,55,160,60,160,60,95
4786,-4,40,-5,0,45,22
4787,-20,-80,-70,-15,-5,-10
4788,-35,-57,-30,-10,-30,-8
4789,24,75,30,40,15,-24
4790,40,15,-37,50,-5,-29
4791,45,95,85,15,35,60
4792,80,120,45,45,25,65
4793,-35,-70,-30,45,-20,-75
4794,3,5,-5,56,19,12
4795,-6,6,-22,31,3,33
4796,-20,-48,-22,-40,-25,15
4797,-10,-32,-15,-20,-15,-70
4798,30,90,30,-10,0,-40
4799,-19,22,-31,-13,-31,-44
4800,55,55,85,-5,25,-15
4801,21,3,13,20,28,36
4802,25,23,-8,-35,0,-30
4803,-48,37,17,-2,-27,16
4804,10,5,2,-9,1,35
4805,-22,-41,-14,-88,-49,-38
4806,0,-25,-4,-15,-19,3
4807,20,40,5,50,-25,-55
4808,-34,-30,0,30,25,9
4809,10,-17,-25,-30,-45,27
4810,-11,23,-17,50,-5,35
4811,20,3,-48,-2,-45,47
4812,-10,35,35,15,0,15
4813,-8,5,8,-5,15,20
4814,-30,-65,-33,-10,-39,16
4815,-47,7,-62,12,-82,-17
4816,-15,-24,-22,-24,-20,-34
4817,20,-25,-15,60,40,-80
4818,-20,-5,-10,-20,-40,-50
4819,0,-20,0,-10,-45,-50
4820,-26,-11,-27,-6,-32,77
4821,-25,-15,35,-40,-15,35
4822,-10,-3,15,5,10,-37
4823,20,55,-5,-17,27,40
4824,15,-15,-37,-10,-27,-21
4825,-20,45,-45,25,30,95
4826,16,77,40,-40,20,32
4827,35,20,-24,85,16,-7
4828,-3,47,14,28,3,51
4829,20,50,15,15,15,90
4830,50,26,31,35,45,-15
4831,44,9,5,17,20,7
4832,29,-9,9,-64,9,-18
4833,8,52,18,32,-32,-7
4834,15,60,-31,-35,-16,5
4835,0,28,43,5,20,39
4836,5,-44,-45,-59,-40,-22
4837,-15,-60,0,-25,5,-40
4838,-25,-50,-15,-30,-20,5
4839,-6,-45,-93,25,48,12
4840,-5,20,-15,-60,-10,-15
4841,-31,-27,-20,-84,0,-13
4842,50,110,85,58,37,85
4843,7,40,5,-40,-65,15
4844,-5,5,-10,23,17,45
4845,20,-18,17,-25,5,-24
4846,-15,-50,-10,20,0,-95
4847,5,-1,-15,-8,-5,-2
4848,-36,-77,-67,-26,-54,-100
4849,10,19,2,19,20,39
4850,-9,-17,-13,40,-15,15
4851,56,120,-60,84,-60,40
4852,46,35,84,25,27,33
4853,-50,-40,-55,-45,-35,-50
4854,-20,-77,25,-62,15,-68
4855,35,70,20,0,-35,20
4856,45,90,45,60,75,5
4857,22,20,-5,-25,-5,-47
4858,27,3,-28,-9,-38,22
4859,-22,-13,3,-77,-58,-83
4860,23,52,53,-67,-33,-53
4861,24,43,15,58,10,51
4862,-36,-32,-9,-59,-14,-70
4863,-6,-6,-90,-5,-20,-35
4864,76,81,-25,51,18,69
4865,20,84,10,-5,-100,11
4866,-10,-15,-35,-5,-15,-30
4867,-15,-15,10,10,15,-15
4868,-60,-50,-70,5,-90,-5
4869,71,50,16,100,16,52
4870,17,70,12,-2,-74,25
4871,-45,-80,-45,-110,-110,-30
4872,-11,-55,-30,-32,7,5
4873,11,41,14,11,59,-26
4874,14,60,105,-70,-6,-60
4875,0,-37,-13,-5,-11,16
4876,-44,-11,31,19,-59,28
4877,-65,-70,-40,-110,-30,-45
4878,-35,-80,-26,-70,-11,-50
4879,70,108,-28,138,72,60
4880,-24,-15,-20,-20,-15,4
4881,-20,5,20,30,5,0
4882,95,53,68,60,80,49
4883,10,-6,14,35,35,10
4884,10,81,-15,31,-40,69
4885,-20,-45,30,-15,-15,25
4886,15,50,30,20,20,35
4887,-6,-44,-12,26,-4,-55
4888,-37,-46,-23,-37,2,-33
4889,-3,6,-3,-40,-10,5
4890,55,45,61,65,61,58
4891,14,-15,5,15,5,6
4892,-40,20,80,0,30,20
4893,35,15,77,25,-30,-62
4894,25,37,38,75,75,65
4895,21,3,2,70,45,58
4896,-9,47,-32,2,-5,43
4897,-4,-23,93,-3,98,-41
4898,-5,3,7,60,50,70
4899,-25,-5,-25,-55,-55,-50
4900,13,-7,-16,4,-16,47
4901,-25,-72,-25,-7,30,-58
4902,-60,-73,15,-27,-20,-15
4903,25,0,60,-15,30,55
4904,-32,-59,-37,16,-34,-40
4905,30,3,30,13,75,27
4906,-25,33,-63,50,20,40
4907,30,3,50,54,70,-36
4908,25,11,60,66,5,10
4909,15,40,5,-25,5,-25
4910,56,-45,-30,37,10,-61
4911,-35,-10,6,5,1,-35
4912,-23,-90,-32,-15,-5,-75
4913,18,-15,1,-35,1,45
4914,-65,-4,-15,-50,-60,-6
4915,-35,-54,-55,65,5,69
4916,17,81,52,23,59,-25
4917,-7,-18,43,14,-25,-17
4918,10,-11,-15,-3,-2,0
4919,10,12,27,-53,27,-21
4920,43,68,32,1,-19,24
4921,30,-57,-17,18,3,-10
4922,19,43,7,65,0,41
4923,5,-40,-20,0,-10,-25
4924,-10,-20,10,-30,-30,-70
4925,30,38,33,45,45,44
4926,8,27,20,-40,10,-25
4927,44,3,21,13,26,19
4928,-70,-115,-75,-40,-70,-10
4929,-10,-45,-70,50,-5,60
4930,10,35,15,0,-15,15
4931,0,0,-25,-10,50,50
4932,-40,0,-15,-20,-15,0
4933,5,15,20,-25,20,-25
4934,-20,-80,-59,-15,11,-57
4935,100,55,15,25,55,-15
4936,16,59,40,-5,15,50
4937,-20,-21,-19,-43,-7,-13
4938,-55,-80,5,-55,5,0
4939,-5,-10,-5,-5,65,30
4940,-22,-5,13,-41,-7,-59
4941,-55,-65,-45,0,-50,10
4942,39,-12,32,43,27,49
4943,10,-1,45,10,25,-42
4944,20,-25,-14,11,2,-18
4945,-27,-85,10,15,20,52
4946,-55,-30,-25,-5,15,35
4947,10,105,-15,35,-30,35
4948,5,35,-85,5,-20,90
4949,15,55,-20,50,15,-15
4950,-3,-17,-12,20,20,-19
4951,10,50,15,40,-20,40
4952,35,50,70,70,65,50
4953,-31,-95,-74,-26,-34,20
4954,-5,-15,7,-20,7,-66
4955,25,34,15,5,10,26
4956,20,10,25,-10,0,-10
4957,24,-17,55,100,50,3
4958,-30,-45,-30,0,-30,-25
4959,-150,115,115,115,-5,40
4960,40,5,20,15,20,25
4961,-5,66,-10,50,-10,64
4962,6,-6,7,29,-1,40
4963,0,2,-14,25,-12,-10
4964,5,-70,10,20,-45,-110
4965,-11,-75,-25,-45,-10,-44
4966,-31,-3,-32,15,-15,5
4967,-15,-35,-70,30,40,-50
4968,-10,-25,-55,10,0,10
4969,-26,5,-35,-7,-37,-25
4970,30,-15,8,35,8,-10
4971,-15,-43,-15,-45,0,-32
4972,-95,-10,-25,-80,-65,-30
4973,-5,-2,-20,45,-10,2
4974,-30,-5,41,-5,-4,-5
4975,25,-29,-10,40,-20,-8
4976,-56,-11,-30,-86,-13,26
4977,55,77,40,-5,30,72
4978,-55,-65,-13,60,62,46
4979,14,-27,-27,43,-58,5
4980,9,8,25,-19,73,-24
4981,10,50,65,-30,-5,-20
4982,-44,-59,-46,-15,-46,-10
4983,-9,24,4,3,-2,25
4984,-18,-42,-5,-24,27,-53
4985,9,-12,1,16,61,-12
4986,-37,-80,95,15,60,-28
4987,25,25,110,35,110,-25
4988,-40,-40,-30,-25,-35,-25
4989,10,5,-35,10,15,5
4990,70,92,90,97,70,-30
4991,-20,-35,-22,-25,-47,-45
4992,105,111,35,46,0,55
4993,20,12,25,57,50,25
4994,-10,-4,12,36,12,50
4995,55,8,-23,78,27,50
4996,31,38,58,100,69,9
4997,7,-5,20,115,85,-60
4998,15,30,5,-15,-35,-10
4999,43,20,9,20,13,25
5000,-10,-1,-7,-45,-50,0
5001,2,19,32,13,24,-27
5002,55,5,-14,40,57,6
5003,-20,5,10,0,35,20
5004,-25,-40,-25,30,-25,15
5005,45,85,40,30,40,50
5006,33,62,60,-11,-2,53
5007,-6,-20,-50,-20,-40,-98
5008,0,102,31,37,52,58
5009,-4,-20,-17,-43,-28,-68
5010,-86,-71,-55,-91,-58,-69
5011,1,4,-11,-19,-9,-55
5012,-5,5,125,-20,-55,0
5013,-36,-68,-51,-56,-44,5
5014,20,-55,-157,40,-5,30
5015,-20,15,-17,-50,-62,-31
5016,15,51,30,-5,40,12
5017,-33,-70,-25,5,-5,-20
5018,-50,-70,-50,-5,-15,-5
5019,-11,-17,45,75,55,33
5020,-20,-60,-20,-65,-55,25
5021,-41,27,7,53,3,106
5022,-10,15,-20,-25,-15,70
5023,41,12,45,29,10,43
5024,-56,-51,-30,-41,-33,-14
5025,55,68,36,22,36,38
5026,-65,-64,-5,-3,-22,-96
5027,10,-50,0,0,60,20
5028,-33,-70,-80,-15,-30,13
5029,20,22,30,34,18,76
5030,200,-59,-45,-10,55,9
5031,15,25,17,-12,-45,-6
5032,14,-27,-24,28,1,54
5033,10,-3,3,22,-25,-7
5034,-15,10,-60,-80,-45,-25
5035,20,15,63,72,70,-45
5036,-5,2,-9,-18,-9,-22
5037,70,-2,-34,-5,-26,-5
5038,70,-60,100,-60,100,-30
5039,25,-30,-10,-15,-15,-70
5040,-24,2,44,-3,-1,-74
5041,4,-16,-16,-41,14,-50
5042,-37,-50,-31,-45,-19,-32
5043,5,38,-73,10,15,75
5044,-2,-10,-65,-10,-35,-3
5045,0,0,-20,85,50,20
5046,-5,60,5,-40,-25,-20
5047,10,-5,-5,-40,-25,-55
5048,15,26,40,33,40,17
5049,15,35,-20,-18,-30,12
5050,34,31,22,75,45,33
5051,-10,-18,-17,-60,-55,-35
5052,-5,50,35,32,-26,0
5053,70,-34,20,66,50,23
5054,-20,-10,88,-30,68,-10
5055,0,12,-5,0,-15,-12
5056,-8,1,-13,-4,0,20
5057,3,36,-26,61,-1,62
5058,-12,16,40,30,60,-2
5059,-40,-90,-195,-20,-60,5
5060,36,49,102,59,27,22
5061,75,100,34,-10,10,21
5062,0,-35,16,15,31,0
5063,-8,-15,22,-23,-38,20
5064,17,17,-20,-11,-45,-45
5065,10,-3,22,-3,42,1
5066,-15,29,25,15,25,-4
5067,35,93,32,45,15,40
5068,-5,-5,-70,10,-20,45
5069,-30,55,-55,-15,-60,15
5070,-75,-75,-20,10,-35,-15
5071,10,32,1,7,1,-4
5072,20,-25,-50,-55,-65,-55
5073,210,-55,-24,35,101,10
5074,-10,-5,5,-60,-45,-25
5075,60,137,90,58,70,5
5076,15,50,20,101,57,52
5077,-19,-48,-43,-35,-25,-5
5078,-5,10,15,-45,-15,20
5079,5,-10,45,50,75,-10
5080,25,5,20,105,40,-20
5081,-7,-5,48,-58,44,-64
5082,26,19,23,51,23,40
5083,0,-41,11,-55,11,13
5084,-4,-44,-30,30,53,4
5085,12,30,-43,-15,-3,10
5086,25,15,-75,50,-75,10
5087,20,90,45,80,50,0
5088,-27,-29,-27,-19,-24,-40
5089,-26,-15,105,-42,108,-41
5090,-16,-32,-26,-2,-76,21
5091,85,130,0,15,35,15
5092,-10,-60,-5,35,-25,15
5093,14,5,23,40,40,10
5094,-40,-40,15,-70,-55,-15
5095,85,10,-5,0,40,-55
5096,-33,-85,-139,-35,-19,-25
5097,-4,-10,7,-30,-13,1
5098,-15,-20,-8,-45,-8,-46
5099,48,17,21,62,25,-38
5100,10,25,0,50,15,55
5101,0,-87,-32,-69,-14,-48
5102,40,46,5,3,5,-43
5103,27,72,47,14,49,-12
5104,35,13,-8,-13,-25,43
5105,67,38,87,30,104,45
5106,45,19,40,50,30,3
5107,-60,-20,-30,-5,-25,50
5108,-50,17,-3,29,9,-37
5109,30,55,-15,30,35,25
5110,-9,67,0,-45,-25,37
5111,75,22,37,22,37,-11
5112,-20,10,60,-30,-30,-40
5113,5,10,75,-30,-5,-45
5114,0,-15,-5,-15,-30,-25
5115,-6,14,51,-26,36,-60
5116,-4,-13,-3,-61,-36,29
5117,-35,-52,-65,-63,-80,-35
5118,20,-47,-17,6,1,7
5119,10,-3,0,45,0,-50
5120,21,44,-10,106,75,29
5121,15,15,70,47,65,-28
5122,-30,30,140,-25,-10,-10
5123,-25,-55,0,115,20,20
5124,-6,-75,-40,-75,-25,-54
5125,6,-20,8,13,73,0
5126,-40,-15,15,5,-10,-55
5127,5,-15,5,65,35,-30
5128,-5,15,10,-20,20,25
5129,-10,15,-11,-95,-61,-75
5130,31,55,50,60,-5,9
5131,-56,-115,-15,-169,-95,-125
5132,-175,105,105,75,0,30
5133,8,15,-45,56,-16,12
5134,35,55,45,85,15,-15
5135,-17,-3,-31,-39,-27,-29
5136,35,95,30,47,10,40
5137,-10,-52,-15,-78,5,-30
5138,-5,-50,-80,-23,-62,15
5139,25,75,10,95,20,-15
5140,33,31,8,69,25,58
5141,-35,15,25,80,5,-30
5142,-18,-30,-115,-55,-25,25
5143,70,45,-30,-40,-55,-65
5144,-26,-22,-23,-19,-3,-18
5145,-47,-20,-20,-85,-50,-38
5146,-31,-7,-10,-84,-10,-38
5147,13,20,8,20,68,15
5148,2,-1,10,-20,-35,-35
5149,23,-3,18,-2,12,-18
5150,59,81,39,31,24,36
5151,-15,50,65,-15,55,-95
5152,-1,18,6,41,16,-72
5153,48,41,5,-14,45,55
5154,15,23,5,138,45,84
5155,-34,-55,15,-10,-5,-28
5156,-10,-20,-20,-20,-20,-15
5157,-41,-62,173,-45,175,-60
5158,1,-13,20,20,-10,7
5159,15,10,25,-25,35,45
5160,-17,-17,3,56,-1,-5
5161,15,10,56,0,-14,-25
5162,40,65,51,55,21,10
5163,-5,-80,-35,75,35,50
5164,25,80,60,-5,60,-55
5165,4,17,-6,-1,-3,-16
5166,6,-48,0,-33,0,-81
5167,-14,18,22,33,-30,36
5168,-15,-70,-10,-36,-36,-70
5169,50,32,10,18,-12,-28
5170,17,20,-25,-10,5,-42
5171,22,48,65,47,-15,27
5172,15,-5,0,50,60,15
5173,10,35,55,-40,0,55
5174,20,0,-15,40,-5,55
5175,-3,14,24,21,26,-41
5176,-15,35,92,-37,-60,-6
5177,-5,-5,25,-40,-20,-70
5178,4,-72,-24,-62,-24,84
5179,-40,-67,-27,-7,-12,19
5180,7,0,-7,-54,-39,-94
5181,-40,-25,-15,-6,-16,-10
5182,21,18,3,52,42,24
5183,-32,-35,-40,-5,-40,17
5184,25,30,160,-10,60,10
5185,-40,-40,-40,-65,-65,-70
5186,-13,-27,-62,-9,15,38
5187,-25,-25,-10,-80,-65,-100
5188,47,55,45,5,25,80
5189,15,-5,5,75,55,25
5190,14,-37,34,-2,39,13
5191,30,-15,-45,45,5,95
5192,37,65,15,-36,31,33
5193,-140,17,-8,17,-8,17
5194,20,63,21,-8,7,-29
5195,30,-45,2,10,70,-22
5196,-10,-65,-10,55,35,10
5197,-5,-20,15,-110,-70,10
5198,-18,88,32,122,68,78
5199,144,-85,-125,-55,-49,-60
5200,15,20,15,-30,15,-5
5201,23,10,20,67,33,-20
5202,36,2,50,69,50,68
5203,-10,10,45,-35,-35,-60
5204,5,-15,-15,-15,-15,-5
5205,-5,-5,5,-1,-1,-35
5206,15,50,5,105,5,50
5207,27,13,26,24,2,-1
5208,-27,-23,-77,27,-27,-47
5209,75,70,45,55,40,44
5210,23,20,-120,-25,15,20
5211,-15,15,-20,40,-85,30
5212,-45,25,-10,-45,-55,-55
5213,-20,15,-5,-55,-75,-50
5214,5,-10,56,-25,16,25
5215,-35,-55,-21,-115,-91,-28
5216,-7,4,-17,-13,-44,-20
5217,45,45,40,35,45,74
5218,35,-20,-25,-65,20,-65
5219,-3,40,10,-20,10,-32
5220,-95,-55,-5,-25,-55,-5
5221,-1,70,5,35,-30,31
5222,30,5,-19,115,20,-6
5223,-44,-3,-21,-13,-26,-19
5224,20,10,10,45,25,-5
5225,100,10,-116,20,-106,-10
5226,31,37,-30,-20,-32,-1
5227,-20,-25,0,15,0,55
5228,-28,-22,25,-34,-23,-88
5229,-55,-40,-45,-125,-95,-35
5230,-24,2,1,12,-4,-13
5231,32,19,27,63,49,13
5232,66,120,35,149,80,85
